Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Tess and the Highlander,"In 1543, on a windswept isle off of Scotland, seventeen-year-old Tess finds a young man half alive in a tidal pool while a great storm rages around them, but little does Tess know that this stranger holds the key to her mysterious past and to her heart. Original.",['May Mcgoldrick'],http://books.google.com/books/content?id=VmCRSPmY3WkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&cd=1&source=gbs_api,Harper Collins,2002-11,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&source=gbs_api,['Juvenile Fiction'],2.0
Beginner's Yoruba (Hippocrene Beginner's Series),"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also contains a vocabulary section that highlights the important aspects of its featured topic. The audio CDs, which complement the lessons, help the student easily master the language's unique tones and vowel sounds, often considered the most difficult aspect of the language to learn. Quizzes and practice exercises are integrated into the lessons to help reinforce the material. The book also includes information on various aspects of Yoruba culture, including religion, songs, and folklore.",['Kayode J. Fakinlede'],http://books.google.com/books/content?id=xLe4nWzeSw0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xLe4nWzeSw0C&pg=PP1&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&cd=1&source=gbs_api,Hippocrene Books,2005,http://books.google.nl/books?id=xLe4nWzeSw0C&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&source=gbs_api,['Foreign Language Study'],1.0
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis","""Bravo to Dr. Sydney Walker. He has written a masterful book for current and prospective mental health consumers. Before filling a prescription for Prozac or Ritalin, make sure you get A Dose of Sanity.""--Charles B. Inlander President, People's Medical Society Has your child been labeled hyperactive? Has your parent been diagnosed with senile dementia? Did your doctor prescribe Prozac for your so-called depression? If you answered ""yes"" to any of these questions, you need A Dose of Sanity. Each year, hundreds of thousands of Americans who are actually suffering from common medical conditions such as hyperthyroidism, Lyme disease, and even poor nutrition are misdiagnosed with psychiatric disorders. Studies show that the rate of misdiagnosis is more than 4 in 10. In this powerful book, practicing psychiatrist Dr. Sydney Walker explains why psychiatric misdiagnosis is so common. More importantly, he helps you and those you love avoid the misdiagnosis trap. Dr. Walker's unique 24-Hour-Day Profile lets you track physical and emotional changes over the course of a day to give your physician valuable clues to what your symptoms really mean.",['Sydney Walker'],http://books.google.com/books/content?id=Eu3ywAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=Eu3ywAEACAAJ&dq=A+Dose+of+Sanity:+Mind,+Medicine,+and+Misdiagnosis&hl=&cd=1&source=gbs_api",Wiley,1997-10-16,"http://books.google.nl/books?id=Eu3ywAEACAAJ&dq=A+Dose+of+Sanity:+Mind,+Medicine,+and+Misdiagnosis&hl=&source=gbs_api",['Medical'],
King James: Believe the Hype---The LeBron James Story,"LeBron James is a six-foot-eight gift from the basketball heavens. For the past three years he was the undisputed finest high school player in America. He was the one NBA scouts drooled over, corporations dreamt of, event promoters begged for, and now NBA fans clamor after. With appearances on the cover of Sports Illustrated and features on ESPN and in newspapers across the country, never before has a high school basketball player been so highly touted or an eighteen-year-old athlete been the subject of such fascination. In fact, no basketball player in the world has had this level of attention this year. Love him or hate him, there is no denying that LeBron James is a force on the basketball court, and his rags-to riches story is the stuff that dreams are made of. Now, for the first time, author Ryan Jones has written a book that incorporates everything that is King James: the controversy, the athletic potential, the jerseys and the Humvee, the hobnobbing with the world's most famous stars, the money, and, of course, the game. This is a book for every fan of LeBron James and for anybody interested in reading about an NBA basketball career in the making.",['Ryan Jones'],http://books.google.com/books/content?id=hlGqehyJhywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hlGqehyJhywC&printsec=frontcover&dq=King+James:+Believe+the+Hype---The+LeBron+James+Story&hl=&cd=1&source=gbs_api,St. Martin's Griffin,2003-10-10,https://play.google.com/store/books/details?id=hlGqehyJhywC&source=gbs_api,['Sports & Recreation'],1.0
Cien Aos de BOXEO (One Hundred Years of Box),,,http://books.google.com/books/content?id=m5M6AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=m5M6AQAAMAAJ&pg=RA1-PA71&dq=Cien+Aos+de+BOXEO+(One+Hundred+Years+of+Box)&hl=&cd=1&source=gbs_api,,1864,https://play.google.com/store/books/details?id=m5M6AQAAMAAJ&source=gbs_api,,
Building the timber frame house: The revival of a forgotten craft,"For centuries, post-and-beam construction has proved to be one of the most durable building techniques. It is being enthusiastically revived today not only for its sturdiness but because it can be easily insulated, it is attractive, and it offers the builder the unique satisfaction of working with timbers. Building the Timber Frame House is the most comprehensive manual available on the technique. In it you will find a short history, of timber framing and a fully illustrated discussion of the different kinds of joinery, assembly of timbers, and raising of the frame. There are also detailed sections on present-day design and materials, house plans, site development, foundation laying, insulation, tools, and methods.",['Tedd Benson'],http://books.google.com/books/content?id=6uxXorE4r-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=6uxXorE4r-UC&printsec=frontcover&dq=Building+the+timber+frame+house:+The+revival+of+a+forgotten+craft&hl=&cd=1&source=gbs_api,Simon and Schuster,1981-09-01,https://play.google.com/store/books/details?id=6uxXorE4r-UC&source=gbs_api,['Architecture'],1.0
"The Jaquith family in America,",,"['George Oakes Jaquith', 'Georgetta Jaquith Walker']",http://books.google.com/books/content?id=hmZVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=hmZVAAAAMAAJ&q=The+Jaquith+family+in+America,&dq=The+Jaquith+family+in+America,&hl=&cd=1&source=gbs_api",,1982,"http://books.google.nl/books?id=hmZVAAAAMAAJ&dq=The+Jaquith+family+in+America,&hl=&source=gbs_api",,
"Eight Men And A Lady (Elizabeth Sinclair, Harlequin American Romance, No. 677)","Eight Men And A Lady by Elizabeth Sinclair released on Mar 25, 1997 is available now for purchase.",['Elizabeth Sinclair'],http://books.google.com/books/content?id=Z6uzJgLWViUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=Z6uzJgLWViUC&q=Eight+Men+And+A+Lady+(Elizabeth+Sinclair,+Harlequin+American+Romance,+No.+677)&dq=Eight+Men+And+A+Lady+(Elizabeth+Sinclair,+Harlequin+American+Romance,+No.+677)&hl=&cd=1&source=gbs_api",Harlequin Treasury-Harlequin American Romance 90s,1997,"http://books.google.nl/books?id=Z6uzJgLWViUC&dq=Eight+Men+And+A+Lady+(Elizabeth+Sinclair,+Harlequin+American+Romance,+No.+677)&hl=&source=gbs_api",['Fiction'],
Pyrography Designs,"This book offers 30 North American wildlife illustrations and 10 border designs to use in woodburning projects. Large ready-to-use designs are provided in both line and tonal patterns. The author includes tips on transferring patterns, plus advice on segmenting and manipulating the images to create your own custom designs.",['Sue Walters'],http://books.google.com/books/content?id=f5hOnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=f5hOnQEACAAJ&dq=Pyrography+Designs&hl=&cd=1&source=gbs_api,Fox Chapel Publishing Company Incorporated,2014-02-01,http://books.google.nl/books?id=f5hOnQEACAAJ&dq=Pyrography+Designs&hl=&source=gbs_api,['Art'],
"The ancient constitution and the feudal law,: A study of English historical thought in the seventeenth century",Pocock explores the relationship between the study of law and the historical outlook of seventeenth-century Englishmen.,['J. G. A. Pocock'],http://books.google.com/books/content?id=BgvsfkQe4dUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=BgvsfkQe4dUC&printsec=frontcover&dq=The+ancient+constitution+and+the+feudal+law,:+A+study+of+English+historical+thought+in+the+seventeenth+century&hl=&cd=1&source=gbs_api",Cambridge University Press,1987-04-24,"http://books.google.nl/books?id=BgvsfkQe4dUC&dq=The+ancient+constitution+and+the+feudal+law,:+A+study+of+English+historical+thought+in+the+seventeenth+century&hl=&source=gbs_api",['History'],
Anna Karenina. (Lernmaterialien),"De 16-jarige vrienden Red (ik-figuur), Leo, Rose en Naomi vormen samen een succesvolle band. Maar dan wordt Naomi bewusteloos uit de Theems gevist. Was het een zelfmoordpoging? Vanaf ca. 15 jaar.",['Cara Delevingne'],,http://books.google.nl/books?id=o0kqtAEACAAJ&dq=Anna+Karenina.+(Lernmaterialien)&hl=&cd=1&source=gbs_api,,2017-11-10,http://books.google.nl/books?id=o0kqtAEACAAJ&dq=Anna+Karenina.+(Lernmaterialien)&hl=&source=gbs_api,['Fiction'],
Seance,"Mysterieus, duister en passioneel Londen, 19de eeuw. Dr. Francis Whitman, ooit een gevierd chemicus, wordt door een journalist gevraagd om een seance bij te wonen van het lokale fenomeen Elizabeth Archer. Zijn opdracht is om op wetenschappelijke wijze aan te tonen dat dit spirituele medium een oplichtster is. Het feit dat Miss Archer nooit in één ruimte te zien is met de geest die ze oproept en dat ze als twee druppels water op elkaar lijken, maakt het werk van Dr. Whitman aanvankelijk eenvoudig. Maar niets is wat het lijkt, vooral wanneer er een dodelijk slachtoffer valt... Seance is een duistere, historische thriller waarin passie, gruwel en spanning naadloos in elkaar worden verweven; een spannende roman in de Angelsaksische traditie.",['Kevin Valgaeren'],http://books.google.com/books/content?id=BiOTCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BiOTCwAAQBAJ&printsec=frontcover&dq=Seance&hl=&cd=1&source=gbs_api,Lannoo Meulenhoff - Belgium,2016-02-13,https://play.google.com/store/books/details?id=BiOTCwAAQBAJ&source=gbs_api,['Fiction'],
"Open marriage;: A new life style for couples,",Advocates the importance of individuality in both partners in order to develop an open relationship in marriage,"[""Nena O'Neill"", ""George O'Neill""]",http://books.google.com/books/content?id=xY2SD7v3070C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=xY2SD7v3070C&pg=PR14&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&cd=1&source=gbs_api",Rowman & Littlefield,1984,"http://books.google.nl/books?id=xY2SD7v3070C&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&source=gbs_api",['Family & Relationships'],1.0
Victoria Magazine July 1994,"John Ruskin's 'Sesame and Lilies', first published in 1865, is a classic 19th-century statement on the natures and duties of men and women. This volume reunites the two halves of the work: 'Of Kings' Treasuries' and 'Of Queens' Gardens', along with essays placing the work in historical context.",['John Ruskin'],http://books.google.com/books/content?id=FYWDIoE5rN4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=FYWDIoE5rN4C&pg=PA200&dq=Victoria+Magazine+July+1994&hl=&cd=1&source=gbs_api,Yale University Press,2002-01-01,http://books.google.nl/books?id=FYWDIoE5rN4C&dq=Victoria+Magazine+July+1994&hl=&source=gbs_api,['Literary Collections'],
The Ground and Grammar of Theology,"The futures seems to be full of promise and excitement. Certainly at no time for nearly a millenium and a half has the opportunity for genuine theology been greater, since the ground has been cleared in the remarkable way of the old dualist and atomistic modes of thought that have plagued theology for centuries. It is, therefore, up to us as theologians to develop theology on its own proper ground in this scientific context, if only because this is the kind of life and culture, and the kind of theology that can support the message of the Gospel to mankind, as, in touch with the advances of natural science, theology comes closer and closer to a real understanding of the creation as it came from the hand of God.",['Thomas F. Torrance'],http://books.google.com/books/content?id=1vQRBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=1vQRBwAAQBAJ&printsec=frontcover&dq=The+Ground+and+Grammar+of+Theology&hl=&cd=1&source=gbs_api,Bloomsbury Publishing,2005-01-01,https://play.google.com/store/books/details?id=1vQRBwAAQBAJ&source=gbs_api,['Religion'],
"Mary, Mary",,['United States. Coast Guard'],http://books.google.com/books/content?id=zPAjAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=zPAjAQAAIAAJ&pg=PA1631&dq=Mary,+Mary&hl=&cd=1&source=gbs_api",,1976,https://play.google.com/store/books/details?id=zPAjAQAAIAAJ&source=gbs_api,['Merchant marine'],
No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","['Dorie N. Van Stone', 'Erwin W. Lutzer']",http://books.google.com/books/content?id=J9NKUAfjGU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J9NKUAfjGU8C&printsec=frontcover&dq=No+place+to+cry:+The+hurt+and+healing+of+sexual+abuse&hl=&cd=1&source=gbs_api,Moody Publishers,1992-05-09,https://play.google.com/store/books/details?id=J9NKUAfjGU8C&source=gbs_api,['Religion'],4.0
Trouble on Titan,,['Alan Nourse'],,http://books.google.nl/books?id=dyUMOQAACAAJ&dq=Trouble+on+Titan&hl=&cd=1&source=gbs_api,Ace Books,1986,http://books.google.nl/books?id=dyUMOQAACAAJ&dq=Trouble+on+Titan&hl=&source=gbs_api,['Fiction'],1.0
Voices from the tapes; recordings from the other world,,['Peter Bander'],,http://books.google.nl/books?id=nzW_uQEACAAJ&dq=Voices+from+the+tapes%3B+recordings+from+the+other+world&hl=&cd=1&source=gbs_api,,1973,http://books.google.nl/books?id=nzW_uQEACAAJ&dq=Voices+from+the+tapes%3B+recordings+from+the+other+world&hl=&source=gbs_api,['Spiritualism'],
"Grants and Awards Available to American Writers (Grants and Awards Available to American Writers, 21st ed)",,['John Morrone'],http://books.google.com/books/content?id=uAig89PtTHkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=uAig89PtTHkC&pg=PA307&dq=Grants+and+Awards+Available+to+American+Writers+(Grants+and+Awards+Available+to+American+Writers,+21st+ed)&hl=&cd=1&source=gbs_api",,2000-08,"http://books.google.nl/books?id=uAig89PtTHkC&dq=Grants+and+Awards+Available+to+American+Writers+(Grants+and+Awards+Available+to+American+Writers,+21st+ed)&hl=&source=gbs_api",['America'],
Communicating with Orcas - The Whales' Perspective,,['Mary J. Getten'],,http://books.google.nl/books?id=13OotQEACAAJ&dq=Communicating+with+Orcas+-+The+Whales%27+Perspective&hl=&cd=1&source=gbs_api,Trafford Publishing,2002,http://books.google.nl/books?id=13OotQEACAAJ&dq=Communicating+with+Orcas+-+The+Whales%27+Perspective&hl=&source=gbs_api,['Local author'],1.0
Academic Freedom after September 11,This is a provocative examination of the current state of academic freedom in the United States and around the world.,"['Evan Gerstmann', 'Matthew Justin Streb']",http://books.google.com/books/content?id=Ry2E9mBjOOAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Ry2E9mBjOOAC&printsec=frontcover&dq=Academic+Freedom+after+September+11&hl=&cd=1&source=gbs_api,Stanford University Press,2006,http://books.google.nl/books?id=Ry2E9mBjOOAC&dq=Academic+Freedom+after+September+11&hl=&source=gbs_api,['Law'],
The Impatient Gardener's Lawn Book,"Explains how to grow a green, beautiful lawn and offers advice on fertilizers, watering, and lawn diseases",['Jerry Baker'],http://books.google.com/books/content?id=h-R4Nt0spJUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=h-R4Nt0spJUC&dq=The+Impatient+Gardener%27s+Lawn+Book&hl=&cd=1&source=gbs_api,"Random House Digital, Inc.",1987,http://books.google.nl/books?id=h-R4Nt0spJUC&dq=The+Impatient+Gardener%27s+Lawn+Book&hl=&source=gbs_api,['Gardening'],1.0
Josef Fuchs on Natural Law (Moral Traditions series),"Appointed by Pope John XXIII to the Pontifical Commission on Population, Family, and Birth, Fuchs ultimately found himself disappointed in his three years of service and spent the next thirty years exploring a broad array of issues pivotal to a reconstruction of Roman Catholic natural law theory. This is the first full-length analysis of Fuchs's efforts. Beginning historically by looking at Fuchs's writings and beliefs before the Pontifical Commission appointment, including his defense of natural law during the ""situation ethics"" debates of the 50s and 60s, the concept of personal salvation, and the status of ""nature"" and ""human nature,"" Graham moves to the intellectual conversion that inspired Fuchs to reconsider his concepts following the commission appointment. From there, Graham engages in a sustained critique of Fuchs's natural theory, addressing both the strengths and weaknesses to be found there and suggest possible avenues of development that would make a positive contribution to the ongoing quest to rehabilitate the Roman Catholic natural law theory that continues to dominate the landscape of moral theology today.",['Mark Graham'],http://books.google.com/books/content?id=t1KlgtaPokMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=t1KlgtaPokMC&printsec=frontcover&dq=Josef+Fuchs+on+Natural+Law+(Moral+Traditions+series)&hl=&cd=1&source=gbs_api,Georgetown University Press,2002-10-25,https://play.google.com/store/books/details?id=t1KlgtaPokMC&source=gbs_api,['Religion'],
Hidden History of the Kovno Ghetto,"Hidden History of the Kovno Ghetto brings together unique materials from Lithuania, Israel, and the United States to present a compelling and unforgettable view of Jewish life, loss, survival, and defiance during the Holocaust. This visual and documentary record is introduced by two essays that describe the German assault on Lithuania's Jewry and the Kovno Jews' resilient yet ultimately futile efforts to devise a ""normal"" world in the ghetto. The book concludes with a Kovno Ghetto survivor's personal reminiscence and a historian's reflection on the experience.",['Dennis B. Klein'],,http://books.google.nl/books?id=WM5wQgAACAAJ&dq=Hidden+History+of+the+Kovno+Ghetto&hl=&cd=1&source=gbs_api,,1997,http://books.google.nl/books?id=WM5wQgAACAAJ&dq=Hidden+History+of+the+Kovno+Ghetto&hl=&source=gbs_api,"['Holocaust, Jewish (1939-1945)']",
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,"This beautifully illustrated, full-color book explains the basic principles of Chinese medicine, the causes of disharmony in the body that lead to disease and the Chinese approach to diagnosis and treatment.",['Tom Williams'],http://books.google.com/books/content?id=XMMFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&cd=1&source=gbs_api,HarperThorsons,2003,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&source=gbs_api,['Health & Fitness'],1.0
The 3 megaton gamble,,['Douglas Terman'],,http://books.google.nl/books?id=RHIvAAAACAAJ&dq=The+3+megaton+gamble&hl=&cd=1&source=gbs_api,,1978,http://books.google.nl/books?id=RHIvAAAACAAJ&dq=The+3+megaton+gamble&hl=&source=gbs_api,,
THE SECULAR CITY -SECULARIZATION AND URBANIZATION IN THEOLOGICAL PERSPECTIVE,"The study of Augustine's political teachings has suffered from a history of misreadings, both ancient and modern. It is only in recent years that the traditional lines of 'Augustinian pessimism' have been opened to question. Scholars have begun to explore the broader lines of Augustine's political thought in his letters and sermons, and thus have been able to place his classic text, The City of God, in its proper context. The essays in this volume take stock of these recent developments and revisit old assumptions about the significance of Augustine of Hippo for political thought. They do so from many different perspectives, examining the anthropological and theological underpinnings of Augustine's thought, his critique of politics, his development of his own political thought, and some of the later manifestations or uses of his thought in the Middle Ages, the Renaissance, and today. This new vision is at once more bracing, more hopeful, and more diverse than earlier readings could have allowed.","['John Doody', 'Kim Paffenroth', 'Kevin L. Hughes']",http://books.google.com/books/content?id=XcVbAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=XcVbAAAAQBAJ&pg=PA291&dq=THE+SECULAR+CITY+-SECULARIZATION+AND+URBANIZATION+IN+THEOLOGICAL+PERSPECTIVE&hl=&cd=1&source=gbs_api,Lexington Books,2005-04-19,http://books.google.nl/books?id=XcVbAAAAQBAJ&dq=THE+SECULAR+CITY+-SECULARIZATION+AND+URBANIZATION+IN+THEOLOGICAL+PERSPECTIVE&hl=&source=gbs_api,['Religion'],
Audi Quattro: The Complete Story,"The Audi Quattro was the world's first successful four-wheel-drive rally car. It brought new standards to the sport, and inspired many others to copy it. This is the complete story.",['Graham Robson'],http://books.google.com/books/content?id=3r114-3gRuAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=3r114-3gRuAC&printsec=frontcover&dq=Audi+Quattro:+The+Complete+Story&hl=&cd=1&source=gbs_api,Veloce Publishing Ltd,2008-06-15,https://play.google.com/store/books/details?id=3r114-3gRuAC&source=gbs_api,['Sports & Recreation'],
Natural Wonders of the World: Converting Measurements to Metric Units (Powermath),"This book explores some of the world's most famous natural wonders, explaining measurements in the U.S. customary system and the metric system.","[""Kerri O'Donnell""]",http://books.google.com/books/content?id=B0VgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=B0VgDwAAQBAJ&printsec=frontcover&dq=Natural+Wonders+of+the+World:+Converting+Measurements+to+Metric+Units+(Powermath)&hl=&cd=1&source=gbs_api,"The Rosen Publishing Group, Inc",2004-08-01,http://books.google.nl/books?id=B0VgDwAAQBAJ&dq=Natural+Wonders+of+the+World:+Converting+Measurements+to+Metric+Units+(Powermath)&hl=&source=gbs_api,['Juvenile Nonfiction'],
